abstract_id,category,abstract,sentence_id
24565240,results,"We found the DB group 's VAS scores to be lower than the control group and block group 's ( p < @ ) values at postoperative @ ( st ) , @ ( nd ) , @ ( th ) and @ ( th ) hours .",8
24867571,methods,To reflect the impact of the PAYS concept the proportion of distance driven above the speed limit was compared between the @ groups .,8
24559003,results,"When analyzing the percentage change between the different doses , a decrease > @ % was found in the blood urea concentrations for patients treated with the @ x @ dose , which was significant with respect to the baseline measurement .",9
24939676,methods,Global indices for B-mode synovitis ( BSI ) and Doppler synovitis ( DSI ) were calculated for @ joints and for wrist-hand-ankle-foot joints .,6
25745875,results,No deaths occurred .,18
24368638,conclusions,"Standard resection can be performed safely and efficiently , without negatively affecting oncologic efficacy or long-term survival , when compared with extended pancreaticoduodenal resection .",11
24620447,objective,Evaluate efficacy/safety of olmesartan medoxomil ( OM ) / amlodipine ( AML ) / hydrochlorothiazide ( HCTZ ) in Hispanic/Latino adults with hypertension .,0
25740262,objective,"Assess the safety , tolerability , and pharmacokinetic ( PK ) profiles of daclatasvir ( DCV ) and asunaprevir ( ASV ) in healthy male Japanese subjects .",0
24937535,methods,A total of @ individuals with impaired glucose tolerance ( IGT ) from ACT NOW received an oral glucose tolerance test and were randomized to pioglitazone or placebo for @ years .,4
25868406,background,The need for a fundoplication during repair of paraesophageal hiatal hernias ( PEH ) remains unclear .,0
25090617,results,"Sensitivity analyses , from which we excluded blood pressure readings within @ months after randomisation , @ months prior to an event or both were confirmatory .",10
24957550,methods,Endpoint considered was loco-regional recurrence ( LRR ) .,8
24467549,results,"The primary endpoint was reached in @ % of patients receiving @mg of febuxostat , @ % of those receiving @mg of febuxostat , and @ % of those receiving allopurinol .",5
25170796,methods,"The assignment of patients -LSB- n = @ , average age @ years , @ women ( @ % ) and @ men ( @ % ) -RSB- was random and blind in this placebo-controlled study .",2
24433264,background,Literature data for skin closure in elective abdominal surgery are still deficient .,4
25112086,results,"After the treatments , the improvements in Lysholm score , VSA score , PTA and LPA in the fire needling group were more obvious than those in the routine acupuncture group ( all P < @ ) .",8
25078976,results,"Bioequivalence criteria for comparison of pregabalin CR after a low - or medium-calorie breakfast relative to pregabalin IR were not met ; however , bioavailability of the pregabalin CR vs. IR formulation was relatively high ( @-@ % ) .",13
25100336,conclusions,High-pitch CTPA at @ kVp can obtain sufficient image quality in normal-weight individuals with @ ml of contrast agent and half the radiation dose of a conventional CTPA protocol .,9
26281163,results,A total of @ patients underwent eradication treatment .,7
24834773,results,Statistically significant between-group differences were only observed for BAT with peach peel and pulp at T@ and T@ and for BAT with rPru p@ at T@ .,7
25682579,methods,"This was a prospective randomized control trial of adult patients presenting with fingertip amputation with bone exposed , requiring surgical treatment .",4
25527165,background,"Although this technique is routinely performed around the world , there is no consensus on the most efficacious and safe chemical agent to be used .",4
24221391,conclusions,"In high-risk patients with severe aortic stenosis and LV dysfunction , mortality rates and LV functional recovery were comparable between valve replacement techniques .",8
24942055,conclusions,The split-thickness skin graft model can be used for future research .,11
24732860,methods,"At the beginning of the study and at the end of @ consecutive years were recorded @ outcomes-frequency , intensity , and duration of pain , as well as frequency , intensity , and duration of exercises .",6
25895016,methods,Smaller age-associated change in BMI and the Healthcare Effectiveness Data and Information Set ( HEDIS ) performance measures for obesity during the @-year follow-up .,9
25348858,results,"Of the @ patients included , @ were analyzed in the IATH group and @ in the hospital-cooling group .",6
24444658,objective,Patients with chronic hepatitis C virus ( HCV ) infection and prior null response ( < @ log HCV RNA decline after @ weeks of PegIFN/RBV ) have limited options .,0
25456367,conclusions,"These data add to the existing evidence that oxaliplatin plus capecitabine or leucovorin and fluorouracil is the standard of care for the adjuvant treatment of stage III colon cancer , and offers physicians flexibility to treat patients according to the patients ' overall physical performance and preference .",14
25654728,results,ORR was higher in the rh-endostatin + EC group ( @ % ) than in the EC group ( @ % ) ( p = @ ) .,7
25431336,conclusions,"In a large trial of acute HF , there were differences in baseline characteristics and outcomes amongst patients of different ages .",10
25169631,results,The other parameter were not significantly different ( P > @ ) .,12
24815417,background,Diclofenac dosing in children for analgesia is currently extrapolated from adult data .,0
25054399,background,The transforaminal approach requires the smallest volume to reach the primary site of pathology .,3
26030325,results,Most alirocumab-treated patients ( @ % and @ % ) achieved their LDL-C goals .,7
24249538,methods,"Level I , therapeutic study .",17
25480462,objective,The evidence suggests that dual-action antidepressants are potent in relieving pain in depression .,1
24986785,background,This is partially due to the lack of clarity about whether marijuana use impacts one 's ability to achieve abstinence from the target of addiction treatment .,1
24954228,results,"Main grade @/@ hematologic toxicities were neutropenia @ % ( arm A ) and @ % ( arm B ) , whereas febrile neutropenia was reported in @ % of patients in each arm .",10
25090617,methods,Active treatment consisted of nitrendipine ( @-@ mg/day ) with possible addition of enalapril ( @-@ mg/day ) and/or hydrochlorothiazide ( @-@ @ mg/day ) .,2
24301237,results,"Patients ' opinions also showed an improvement in their self-image up to four months after treatment , according to the self-grading .",8
25359121,methods,Data collected from @ participants in a randomized controlled trial evaluating the effectiveness of an ED prevention program were used in the analyses .,2
24958736,results,"Median age : @ years , colon/rectum : @ % / @ % , number of positive nodes @ / > @ : @ % / @ % , stage IIIa/IIIb : @ % / @ % .",7
25884343,objective,"However , they still suggest the use of vertebroplasty over kyphoplasty in view of the treatment costs .",2
24450858,results,"The median time to a response was @ months , the median duration of response was @ months , and the median progression-free survival was @ months .",7
25141240,results,Crushing ER OC/APAP @/@ mg further delayed these effects compared with the same dose of crushed IR OC/APAP and intact ER OC/APAP .,10
25589191,background,"We aimed to assess the effect of afatinib on overall survival of patients with EGFR mutation-positive lung adenocarcinoma through an analysis of data from two open-label , randomised , phase @ trials .",0
24330986,results,The lower limits of the @ % confidence interval of difference of cure rate and total efficacy rates after three-day and seven-day therapy between two groups were less than @ % .,8
25341145,methods,Fourteen patients did not receive the prescribed amount of contrast agent for diagnostic reasons or did not complete follow-up .,3
24576912,results,"At discharge , @ patients ( @ % ) were diagnosed with stroke/transient ischemic attack ( TIA ) , @ identified by the EMCC ( @ % ) and @ ( @ % ) by the ambulances .",7
24531027,results,"The cumulative probability of failure at @ , @ , @ , and @ years after additional glaucoma surgery was @ % , @ % , @ % , and @ % , respectively , in the tube group , and @ % , @ % , @ % , and @ % in the trabeculectomy group ( P = @ ) .",10
24411083,methods,"Other assessments included hair count ( @-cm diameter ) and width , photographic assessments ( investigators and panel ) , change in stage , and health outcomes .",4
25528738,background,"Omalizumab , an anti-IgE monoclonal antibody , is administered by injection once or twice monthly in offices and clinics .",0
24370353,conclusions,The regimens were comparable with regard to overall survival .,13
24612754,results,@ participants were randomised to the collaborative community-based care plus facility-based care group and @ were randomised to the facility-based care alone group ; @ ( @ % ) participants completed follow-up to month @ .,9
25219129,results,"After the treatment , of the @ and @ cases in the Acu + Rehab and Rehab groups , @ ( @ % ) and @ ( @ % ) were cured , @ ( @ % ) and @ ( @ % ) experienced marked improvement , @ ( @ % ) and @ ( @ % ) were invalid , with the effective rates being @ % and @ % respectively .",5
24602973,results,Average sedation-related oxygen saturation drop and transcutaneous CO@ rise were not significantly different between groups .,5
24826396,results,The trial was suspended early because of problems with trial governance and the reporting of severe adverse events .,4
24931061,results,One vs no MetS-like components was protective for overall prostate cancer ( P = @ ) and low-grade prostate cancer ( P = @ ) .,7
24352823,conclusions,Advantages deriving from early control of joint inflammation may explain the maintenance of results at follow-up .,7
25528907,results,"The infestation rate in the intervention group was significantly lower than in the control group ( @ vs. @ % , p = @ ; Fisher-test ) .",6
25325498,results,Armodafinil also improved objective sleepiness from @ @ min to @ @ min ( P < @ ) and RAT score from @ @ to @ @ ( P < @ ) .,12
25027749,results,@ patients in NAC group and @ patients in control group completed the study .,9
25218880,background,Gaining too much weight in pregnancy poses health risks for mother and child .,0
24562349,results,"Most differences remained significant when adjusted for baseline risk factor , age , CD@ , and HIV-@ RNA .",9
24473387,results,Plasma level of PAI-@ was reduced ( P < @ ) and D-dimer was increased ( P < @ ) after the CBP .,6
25250626,results,"In the repeated-measures analyses using as exposure the yearly updated information on GI , we observed a similar association .",11
25414173,methods,The intervention was initiated day @ after subarachnoid hemorrhage and discontinued day @ .,4
24969592,methods,"A randomized controlled , examiner-blinded , @-year clinical trial with parallel groups was conducted .",1
24420962,results,Secondary measures of sleep quality @-@ NRS score ( p = @ ) and Subject Global Impression of Change ( SGIC ) ( p = @ ) also demonstrated statistically significant treatment differences in favour of THC/CBD spray treatment .,7
25409545,conclusions,"If our hypothesis is confirmed , the use of SDF in private and public contexts could represent an easier and effective option in the treatment of enamel approximal caries in children/adolescents .",20
24280031,conclusions,Further research in this area should employ extended rTMS protocols that approximate those used in depression in an attempt to replicate and amplify the clinical response .,11
24565295,methods,"A clinical , randomized , controlled , double-blind study conducted with @ patients with body mass index @ kg.cm ( -@ ) .",3
24692284,results,"The change in NT-proBNP was poorly correlated with change in SBP ( LCZ@ , r = @ , P = @ ; valsartan , r = @ , P = @ ) After adjustment for change in SBP , the ratio of change in NT-proBNP at @weeks for LCZ@ vs. valsartan was @ ( @ % CI @-@ @ , P = @ ) , and similar to the ratio not adjusting for SBP ( @ , @ % CI @-@ @ , P = @ ) ; P for interaction was @ ) .",5
25283504,objective,Pharmacodynamic analysis of intravenous recombinant urate oxidase produced by Escherichia coli was performed in healthy subjects using a pharmacokinetic/pharmacodynamic ( PK/PD ) model .,0
24607797,results,"At @ minutes after HSG , there was no significant difference in the median VAS pain scores between patients administered NSAIDs ( median , @ cm ; range , @-@ @ ) or misoprostol ( median , @ cm ; range , @-@ @ ) and the control group ( median , @ cm ; range , @-@ @ ) .",10
25789814,results,Subjects with full fan at maximum smile were most dissatisfied with their appearance and perceived themselves to look older versus other patterns .,8
24387919,results,Qualitative assessment was subtle among the three protocols .,3
24915562,results,A total of @ infants ( @ in the control group and @ in the study group ) were enrolled .,5
24386101,results,No significant differences were found in the expression of sarcoplasmic reticulum Ca ( @ + ) ATPase ( SERCA@a ) and ryanodine receptors ( RyRs ) .,12
26356395,results,"The combined treatment decreased the level of undesirable side-effects of phenazepam ( attention and memory impairment , asthenia , sedation , increase in sleep duration , sexual disturbances , emotional indifference and orthostatism ) during the course of treatment and after the tranquilizer withdrawal .",7
25297012,results,"During stages @ and @ , mean ALSFRS-R declined more slowly in participants who received @ g ceftriaxone than in those on placebo ( difference @ units per month , @ % CI @ to @ ; p = @ ) , but in stage @ functional decline between the treatment groups did not differ ( @ , -@ to @ ; p = @ ) .",16
24637951,methods,"A baseline diagnosis of COPD and duration of COPD were examined as risk factors for MCI and MCI subtypes using Cox proportional hazards models and adjusting for demographic variables and medical comorbidities , with age as the time scale .",7
25667244,results,"Moreover , no differences between groups were found regarding secondary outcomes ( P > @ for all ) .",6
24237610,conclusions,"EP@ pharmacodynamics were characterized by a long-lasting , dose-dependent increase in activated clotting time , ecarin clotting time , thrombin time , anti-FXa activity , activated partial thromboplastin time , prothrombin time , and a decrease in endogenous thrombin potential , measured by a thrombin generation test .",7
24450367,methods,"Controlled , repeated-measures , single-blind randomized study .",0
25732417,results,"The serum alkaline phosphatase ( ALP ) levels and the Mayo risk score in the combination therapy group ( mean @IU/l and @ , respectively ) were significantly lower than those in the UDCA monotherapy group ( mean @IU/l and @ , respectively ) at @ years after the beginning of the study ( P < @ ) .",4
26141464,background,"The Maastricht , Asia-Pacific consensus guidelines strongly recommend eradication of Helicobacter pylori in patients who have a history of gastric cancer .",0
25050491,methods,"Sixty-one patients , scheduled for elective aortic valve surgery , were randomly assigned ( computer-generated randomization sequence ) to receive either an intravenous bolus of cyclosporine ( @ mg/kg , cyclosporine group , n = @ ) or normal saline ( control group , n = @ ) @ min before aortic cross-unclamping .",4
25684005,conclusions,"Maintaining a remifentanil Ce of @ ng/mL during emergence may suppress adverse events such as coughing , breath-holding , and agitation following the removal of LMA without delayed awakening .",7
24767620,conclusions,Brief intervention to shift focus from competitive self-promotion to a goal orientation of helping-others can reduce HPA-axis activation to a potent psychosocial stressor .,13
24719123,conclusions,"Minimizing stent length and the number of stents with overlapping by spot DES implantation may result in reduced rates of @-year TVF , compared with full DES coverage .",7
24529259,methods,The study will use a parallel design with the control group receiving the intervention after serving as control .,6
25514302,results,"Of the @ patients in the entecavir group , @ ( @ % ) experienced treatment-related adverse events .",12
24774721,background,"Due to the size , proximity to neurovascular structures and the complex anatomy of the pelvis , a complete resection with adequate safety margin is difficult to perform .",3
25226004,conclusions,Increased elastin stimulated by CaHA also indicates active remodeling .,10
25155966,methods,"The neonates were assigned to @ groups ; @ received rhG-CSF , @ received rhEPO , @ received both , and @ received distilled water ( placebo control ) .",2
25399043,results,"All techniques had similar bias for the lower liver border , between @ and @ cm superior to the ultrasound measurement .",4
24814767,conclusions,The pore size of meshes investigated in this study did not affect the quality of life after inguinal hernia repair .,14
25720930,conclusions,The sensory disturbance associated with surgery appears to settle over this time frame .,11
24931702,results,"Models adjusted for novel biomarkers had improved performance compared to models adjusted for classical risk factors as assessed by IDI , but not by AUC .",8
24270933,results,"Similarly , patients ' anxiety decreased by @ mm in the morphine group and by @ mm in the morphine/promethazine group ( P = @ ) .",11
24771090,conclusions,A neutral effect was seen in those with a lower baseline HbA@c level .,7
25711326,results,"By country , the prevalence of TDR was highest in Australia ( @ % ) , France ( @ % ) , the USA ( @ % ) and Spain ( @ % ) .",9
26013537,results,"Results of the interaction ( GroupTime ) effects using GEE indicated that there were statistically significant differences between the three study groups over the @-month follow-up on the ASSIST tobacco score ( Wald ( @ ) = @ , P = @ ) , and past week tobacco use abstinence ( Wald ( @ ) = @ , P = @ ) .",3
25041791,background,Targeting a single pathway in pancreatic adenocarcinoma ( PC ) is unlikely to affect its natural history .,0
24325649,methods,"In the second phase , @ patients were randomized again into the same two groups with @ and @ patients in the sheathed group and the conventional group , respectively .",5
25208366,methods,"Following a baseline examination for plaque , gingival inflammation and bleeding , @ qualified healthy adult males and females , ages @-@ were selected to participate in the study .",3
25014996,background,Traditional Chinese medicine ( TCM ) is used to treat AECOPD as adjunctive therapy .,1
24285844,background,"We found that vaccine was @ % protective against HSV-@ genital disease , but offered no significant protection against HSV-@ genital disease .",2
25099550,results,One week of daily anodal tDCS reduced overall caloric intake by @ % in comparison with sham stimulation .,4
24326604,methods,"Rapid PCR infants obtained molecular test results within @ hours to facilitate immediate ART , similar to a point-of-care test .",4
24433229,conclusions,"Use of social media enhances recruitment , while Email , phone and text message contact improves retention within interventions .",11
25001621,background,Our objective was to evaluate the effect of intensive care treatment on the protein binding of sufentanil and hydromorphone in cardiac surgery patients during postoperative analgesia using a target-controlled infusion ( TCI ) and patient-controlled analgesia ( PCA ) .,0
25293665,objective,"On the basis of phase II trials , we considered that transcranial laser therapy could have neuroprotective effects in patients with acute ischemic stroke .",0
25575764,methods,"SOL consisted of S-@ ( @-@mg bid ) plus oral LV ( @mg bid ) for @week and oxaliplatin ( @mg/m ( @ ) ) on day @ , repeated every @weeks .",5
25230593,methods,"This trial is registered at ClinicalTrials.gov , number NCT@ .",9
24574444,objective,To evaluate the effect of perioperative gabapentin treatment for the prevention of persistent post-thoracotomy pain and to establish whether gabapentin has a significant therapeutic impact on acute postoperative pain .,0
25182269,background,The lack of integration between different care providers impedes guideline-based treatment .,1
24299932,results,One patient from group S was excluded due to protocol violation .,7
25388481,results,"In a secondary largely exploratory analysis , the intervention was found to have the most benefit in patients with the lowest baseline follow-up rate ( English speakers with specialty care appointments ) .",13
25524125,methods,"Secondary endpoints were systemic and local inflammation , and surgical complications .",6
25240454,results,"In patients with normal MPS , MACE occurred in @ % and ischemia or new scar in @ % .",7
24518533,methods,"Stratified , randomized , controlled intervention study conducted in five participating centers of pediatric cardiology in The Netherlands .",1
26206641,results,"Adjusting for multiple comparisons , there were no significant differences between ISD and standard dressing groups ; a significant difference was observed between ISD and MOA ( relative risk -LSB- RR -RSB- @ ; @ % CI ( @ to @ ) ; p = @ ) and between the standard group and the MOA group ( RR @ ; @ % CI ( @ to @ ) ; p = @ ) .",9
24919684,background,"We hypothesize that intravenous @ % albumin plus furosemide , by comparison with furosemide alone , improves diuresis , oxygenation , and hemodynamic stability in the deresuscitation of critically ill , hypoalbuminemic patients .",4
24937535,objective,I is determined by @ variables : insulin secretion rate ( ISR ) and metabolic clearance of insulin .,2
24913212,methods,Exercise Dance for Seniors ( EXDASE ) Program designed for the use in long-term care settings performed once a week for @ minutes for @ months .,4
25185483,conclusions,"This study will improve our understanding of local accountability systems for public service delivery in the @ states under study , and may have downstream policy implications .",12
24298784,conclusions,"The abdominal acupuncture is an ideal treatment for adhesion-stage shoulder periarthritis , which has better total efficacy than conventional acupuncture .",9
24474434,objective,"`` Nudges '' that influence decision making through subtle cognitive mechanisms have been shown to be highly effective in a wide range of applications , but there have been few experiments to improve clinical practice .",0
25452013,background,"However , it is unknown if clinicians can consistently apply standardized cervical traction forces , a critical step toward identifying an optimal therapeutic dose .",2
24707675,objective,The aim of this article was to evaluate the changes in hormone levels in women before and after the special Muslim fasting period of Ramadan .,2
25181492,conclusions,Trials are needed to quantify the protective effect of breakfast on emerging type @ diabetes risk .,11
24407896,results,"In all of the cases , IA was recognised during the first interview .",12
24227358,results,"During surgery the control group received a median ( interquartile range ) fluid volume of @ ( @-@ ) ml and sodium input of @ ( @-@ ) mmol , compared with @ ( @-@ ) ml and @ ( @-@ ) mmol respectively in the restricted group .",5
24593931,results,"Bravecto ( fluralaner ) tick-control efficacy on treated dogs at weeks @ , @ , @ , and @ was @ % , @ % , @ % , and @ % , respectively , and Frontline ( fipronil ) tick efficacy was @ % , @ % , @ % , and @ % , respectively .",8
25245489,results,"This primary end point was achieved by @ of @ patients ( @ % ) in the placebo group , and by @ of @ ( @ % ) and @ of @ ( @ % ) in the pentosan polysulfate sodium @ mg once daily and @ times daily groups , respectively .",6
25241220,results,There was no difference between the two groups in terms of QoL main composite score .,7
25762759,conclusions,Innovative approaches are needed .,10
24268886,results,Results were similar at @ months .,8
25041486,objective,To compare the pharmacodynamic and pharmacokinetic profiles of ilaprazole and esomeprazole .,1
25928649,background,The benefit of LDCT screening in black individuals is unknown .,2
25046624,conclusions,"Investigations with larger sample sizes , over extended treatment periods , and with varying curcumin dosages are required .",9
25188501,methods,The primary efficacy outcome was change from baseline to endpoint ( week @ ) in Positive and Negative Syndrome Scale ( PANSS ) total score .,2
25468506,background,"This continues to occur despite their modest effectiveness , potential harms including increased risk of death and stroke , and absence of detrimental effect when people with dementia were randomised to antipsychotic withdrawal .",1
24478129,objective,"The aim of this study was to investigate the relationship between the presence of gastritis due to HP infection and neutrophil/lymphocyte ratio ( NLR ) , a simple and reliable indicator of inflammation .",2
25271180,results,"Mixed analysis of variance on the study sample ( n = @ ) showed a significant interaction between groups ( CL , HC , control ) and time ( p = @ ) .",6
24699259,results,"Optimal sedentary cut-points derived from ROC were @ CPM ( ROC-AUC of @ ) for vector magnitude for hip , @ CPM ( ROC-AUC of @ ) for vertical axis for wrist , and @ CPM ( ROC-AUC of @ ) for vector magnitude for wrist placement .",8
25695403,results,"A total of @ patients ( @ % male ; mean age , @ yr ; @ % current smokers ; baseline FEV@ -LSB- SD -RSB- , @ L -LSB- @ -RSB- ; mean FEV@ percent predicted , @ % ) were randomized .",4
24973959,background,"Afatinib , an irreversible ErbB family blocker , was recently approved for the first-line treatment of EGFR mutation-positive metastatic non-small cell lung cancer .",4
24969964,results,"Of the @ participants randomized , @ % had diabetes and were similar in other cardiovascular risk factors .",4
24255767,methods,We obtained MRI of @ consecutive athletes with hamstring injuries within @days of injury and within @days of RTP .,3
24559810,objective,"Regarding the scientific evidences existing about ginger , this research was therefore carried out to identify the effect of ginger supplementation on insulin resistance and glycemic indices in diabetes mellitus .",1
25414095,methods,We will recruit @ eligible adults with learning disabilities and a confirmed diagnosis of epilepsy and will randomize them to use either the Books Beyond Words booklet plus usual care ( intervention group ) or to receive routine information and services ( control group ) .,5
24657003,results,Event-free survival was strongly associated with pathological complete remission in patients given trastuzumab .,12
24389401,methods,"Two groups of patients with early-stage primary breast cancer ( N = @ ) : the ALND surgery group ( mean age , @y ) and the SLNB group ( mean age , @y ) .",4
24893311,methods,Data of patients with clinical T@ or less bladder cancer who underwent monopolar or bipolar transurethral bladder tumor resection were collected from @ hospitals in the Japanese Diagnosis Procedure Combination database @-@ .,1
25149657,results,"The two groups were not significantly different in KSS , and no apparent complication was observed at three time points .",9
24736628,results,Markers of insulin resistance were also improved in the lobeglitazone group .,6
24434090,results,"In adult patients , the most commonly reported TEAEs ( erectile dysfunction data were excluded ) were nausea , insomnia , decreased appetite , urinary hesitation/urinary retention , and fatigue ; insomnia had a significantly shorter time to onset and longer duration with twice-daily versus once-daily dosing ( P @ ) and fast versus slow titration ( P @ ) .",5
25925670,background,We develop this protocol to confirm the clinical efficacy of electro-acupuncture on stable angina pectoris by needling on acupoint Neiguan ( PC@ ) .,2
24252173,results,"In addition , there was a trend of improved circadian rhythm sleep disorder symptoms and sleep quality .",9
25727713,background,Bacterial screening offers the possibility of extending platelet ( PLT ) storage to Day @ .,0
24588368,methods,"For two cleansers , reproducibility of the irritancy assessment was assessed .",4
25404126,methods,Thirty pregnant women enrolled in the clinical trial participated in six focus group discussions .,6
24880749,results,Both placebo - and lithium-treated participants showed reduced levels of cannabis use ( verified by urinalysis ) and improved health and psychosocial outcomes at @ - and @-day follow-up relative to pretreatment baselines .,9
24298764,methods,"In the bloodletting group , the bloodletting therapy was done at twelve Jing-well points with three-edged needle , @ drops of blood required at each one , three times a day .",3
25456365,results,"Other adverse events included hot flushes , alopecia , abdominal pain , and back pain .",19
24686045,results,IV dexamethasone prolonged time to first toe movement compared with saline ( P = @ ) but not analgesia duration ( P = @ ) .,10
24369097,background,The prevalence of heart failure ( HF ) is rising in industrialized and developing countries .,0
25694461,methods,Two acute internal medicine wards at Uppsala University hospital .,2
25239343,objective,"This prospective , multicenter , randomized clinical trial was performed to compare the effectiveness of the bioprosthesis Surgisis Gold ( Cook Biotech , Inc , West Lafayette , IN ) to suture closure alone in reinforcing the abdominal wall after open Roux-en-Y gastric bypass ( RYGB ) .",0
25045825,methods,"In @-@ , subjects ( N = @ ) were randomized to receive one dose of aTIV or TIV .",2
25236367,methods,"In our parallel-group , prospective , randomized , controlled trail at @ hospitals in China , @ patients were enrolled from January @ to January @ .",2
24274882,methods,"Treatment success or failure was defined on the basis of various combinations of reduction in the @ scores when inclusion criteria were set as a PSS and PIS @ , @ , or @ at baseline .",4
24244656,conclusions,"Collectively , these data demonstrate that chronic exercise increases eNOS/NO production , presumably by increasing endothelial shear stress .",10
25220196,results,A comparison of TT at the last follow-up ( revision or @ years ) found no difference between the HHRIs ( P = @ ) .,6
24670828,results,"In the stent subgroup was LLL @ mm ( DEB ) vs. @ mm ( PTA ) , P < @ .",8
25328464,background,Early ceramic bearing systems in total hip arthoplasty ( THA ) sought to provide long term wear improvement over traditional metal on polyethylene systems .,0
25635887,methods,We counted any detected new hemorrhage ( catheter tract hemorrhage or any other distant hemorrhage ) on computed tomography scan within @ days from the randomization .,4
24974855,methods,The Wijma Delivery Experience Questionnaire ( W-DEQ version B ) was filled in after delivery .,7
24529580,conclusions,QD administration of silodosin was not inferior to BID in efficacy .,11
24970570,background,"The construction of a colostomy is a common procedure , but the evidence for the different parts of the construction of the colostomy is lacking .",0
24275953,results,"This was a prospective , @-center , randomized controlled trial of decision support effectiveness .",2
24562805,results,"Among patients with LVEF < @ % , treatment with bivalirudin compared to heparin + GPIIb/IIIa inhibitors resulted in reduced @-year mortality ( @ vs. @ % , p = @ ) .",6
25219993,results,"In this study , with shim stock , the majority of the contact patterns were group function being @ % whereas with the articulating paper it was @ % .",10
26028131,background,Routine resection of cavity shave margins ( additional tissue circumferentially around the cavity left by partial mastectomy ) may reduce the rates of positive margins ( margins positive for tumor ) and reexcision among patients undergoing partial mastectomy for breast cancer .,0
